,R2,R2a,diff,RMSE,MAE,features
216,0.9205514386,0.9090145596,0.011536879,0.0310852486,0.020159942,"[array(['Utilities_AllPub', 'Exterior1st_BrkComm', 'SaleType_Oth',
       'Exterior1st_AsphShn', 'Exterior2nd_AsphShn',
       'SaleCondition_Normal', 'Exterior2nd_HdBoard', 'Heating_GasA',
       'HalfBath', 'Foundation_CBlock', 'Neighborhood_Blmngtn',
       'LowQualFinSF', 'Functional_Maj2', 'Foundation_Stone',
       'Functional_Maj1', 'Exterior1st_Stone', 'HeatingQC_Po',
       'Condition1_RRNn', 'MSSubClass', 'Neighborhood_Blueste',
       'BsmtHalfBath', 'Neighborhood_MeadowV', 'Neighborhood_Somerst',
       'BldgType_2fmCon', 'Exterior1st_CemntBd', 'SaleCondition_AdjLand',
       'Exterior2nd_Plywood', 'Exterior1st_HdBoard',
       'Exterior1st_Wd Sdng', 'SaleCondition_Alloca', 'SaleType_ConLD',
       'MiscVal', 'ExterQual_Fa', 'Condition1_RRAn',
       'Neighborhood_BrkSide', 'Condition1_PosA', 'ExterCond_Po',
       'ExterCond_Ex', 'Exterior2nd_CmentBd', 'Heating_Floor', 'YrSold',
       'MSZoning_RL', 'Exterior2nd_Brk Cmn', 'SaleType_CWD',
       'EnclosedPorch', 'Neighborhood_Veenker', 'Condition1_PosN',
       'MSZoning_RH', 'Exterior2nd_Wd Sdng', 'Condition1_Feedr',
       'Foundation_BrkTil', 'MSZoning_RM', 'Exterior2nd_Other',
       'Exterior1st_VinylSd', 'LandContour_HLS', 'MSZoning_FV',
       'Exterior2nd_MetalSd', 'RoofStyle_Mansard', 'Exterior2nd_Stucco',
       'Exterior2nd_AsbShng', 'Heating_Grav', 'Neighborhood_NPkVill',
       'BldgType_Duplex', 'Foundation_PConc', 'Condition1_RRNe',
       'Street_Pave', 'HouseStyle_SFoyer', 'BsmtFullBath',
       'BldgType_1Fam', 'Functional_Mod', 'SaleType_ConLI',
       'HouseStyle_SLvl', 'Functional_Min1', 'Exterior2nd_Wd Shng',
       'Exterior1st_Plywood', 'Exterior1st_Stucco', 'LotShape_IR3',
       'BsmtUnfSF', 'Exterior1st_WdShing', 'Exterior1st_CBlock',
       'Exterior2nd_CBlock', 'Foundation_Slab', 'HeatingQC_Ex',
       'Exterior1st_AsbShng', 'Heating_GasW', 'HouseStyle_1.5Unf',
       'ExterCond_Fa', 'OpenPorchSF', 'Neighborhood_IDOTRR',
       'SaleType_Con', 'three', 'Condition1_Artery', 'LotConfig_Corner',
       'HeatingQC_Fa', 'Neighborhood_Timber', 'LandSlope_Gtl',
       'Exterior1st_MetalSd', 'Neighborhood_BrDale', 'FullBath',
       'SaleType_New', 'HouseStyle_1Story', 'LotConfig_CulDSac',
       'Exterior2nd_VinylSd', 'Exterior2nd_BrkFace',
       'SaleCondition_Partial', 'Heating_Wall', 'HouseStyle_1.5Fin',
       'SaleCondition_Family', 'LotShape_IR2', 'Condition2_RRAn',
       'LandSlope_Mod', 'TotRmsAbvGrd', 'SaleCondition_Abnorml',
       'Neighborhood_SawyerW', 'Neighborhood_SWISU', 'RoofStyle_Flat',
       'Exterior2nd_Stone', 'LotConfig_Inside', 'ExterCond_TA',
       'Functional_Min2', 'LotConfig_FR3', 'BsmtFinSF2', 'HeatingQC_Gd',
       'GarageArea', 'LandContour_Lvl', 'HeatingQC_TA',
       'HouseStyle_2.5Fin', 'HouseStyle_2.5Unf', 'SaleType_ConLw',
       'YearRemodAdd', 'Condition2_RRNn', 'ExterCond_Gd', 'GarageCars',
       'RoofMatl_WdShake', 'Fireplaces', 'RoofStyle_Gambrel',
       'Utilities_NoSeWa', 'Neighborhood_ClearCr', 'Condition2_PosA',
       'ExterQual_Ex', 'RoofMatl_Roll', 'Condition1_Norm',
       'LotConfig_FR2', 'Condition2_RRAe', 'Exterior1st_ImStucc',
       'Condition2_Artery', 'WoodDeckSF', 'Heating_OthW',
       'Neighborhood_Crawfor', 'KitchenQual_Fa', 'MoSold',
       'Condition2_Feedr', 'RoofStyle_Shed', 'Functional_Sev',
       'Neighborhood_OldTown', 'Neighborhood_Sawyer', 'PavedDrive_N',
       'KitchenAbvGr', 'Condition1_RRAe', 'Foundation_Wood',
       'Exterior2nd_ImStucc', 'Exterior1st_BrkFace', 'RoofStyle_Hip',
       'ScreenPorch', 'Neighborhood_CollgCr', 'PavedDrive_P',
       'HouseStyle_2Story', 'LotShape_Reg', 'RoofStyle_Gable',
       'MSZoning_C (all)', 'SaleType_COD', 'Neighborhood_Gilbert',
       'KitchenQual_Ex', 'LotShape_IR1', 'LandContour_Low',
       'LandContour_Bnk', 'RoofMatl_Metal', 'BldgType_Twnhs', 'PoolArea',
       'BedroomAbvGr', 'RoofMatl_Tar&Grv', 'LandSlope_Sev',
       'PavedDrive_Y', 'Condition2_Norm', 'SaleType_WD', 'YearBuilt',
       'BldgType_TwnhsE', 'Functional_Typ', 'Neighborhood_Mitchel',
       'CentralAir_N', 'Street_Grvl', 'Neighborhood_Edwards',
       'RoofMatl_Membran', 'Neighborhood_NAmes', 'RoofMatl_CompShg',
       'Neighborhood_NWAmes', 'CentralAir_Y', 'Neighborhood_NridgHt',
       'Neighborhood_NoRidge', 'OverallCond', 'LotArea', 'ExterQual_Gd',
       'ExterQual_TA', 'Neighborhood_StoneBr', 'KitchenQual_TA',
       'KitchenQual_Gd', 'TotalBsmtSF', 'OverallQual', 'one',
       'BsmtFinSF1', 'two', 'RoofMatl_WdShngl', 'Condition2_PosN',
       'TotalSF', 'RoofMatl_ClyTile'], dtype=object)]"
215,0.9205514386,0.9090145596,0.011536879,0.0310852486,0.020159942,"[array(['Exterior1st_BrkComm', 'SaleType_Oth', 'Exterior1st_AsphShn',
       'Exterior2nd_AsphShn', 'SaleCondition_Normal',
       'Exterior2nd_HdBoard', 'Heating_GasA', 'HalfBath',
       'Foundation_CBlock', 'Neighborhood_Blmngtn', 'LowQualFinSF',
       'Functional_Maj2', 'Foundation_Stone', 'Functional_Maj1',
       'Exterior1st_Stone', 'HeatingQC_Po', 'Condition1_RRNn',
       'MSSubClass', 'Neighborhood_Blueste', 'BsmtHalfBath',
       'Neighborhood_MeadowV', 'Neighborhood_Somerst', 'BldgType_2fmCon',
       'Exterior1st_CemntBd', 'SaleCondition_AdjLand',
       'Exterior2nd_Plywood', 'Exterior1st_HdBoard',
       'Exterior1st_Wd Sdng', 'SaleCondition_Alloca', 'SaleType_ConLD',
       'MiscVal', 'ExterQual_Fa', 'Condition1_RRAn',
       'Neighborhood_BrkSide', 'Condition1_PosA', 'ExterCond_Po',
       'ExterCond_Ex', 'Exterior2nd_CmentBd', 'Heating_Floor', 'YrSold',
       'MSZoning_RL', 'Exterior2nd_Brk Cmn', 'SaleType_CWD',
       'EnclosedPorch', 'Neighborhood_Veenker', 'Condition1_PosN',
       'MSZoning_RH', 'Exterior2nd_Wd Sdng', 'Condition1_Feedr',
       'Foundation_BrkTil', 'MSZoning_RM', 'Exterior2nd_Other',
       'Exterior1st_VinylSd', 'LandContour_HLS', 'MSZoning_FV',
       'Exterior2nd_MetalSd', 'RoofStyle_Mansard', 'Exterior2nd_Stucco',
       'Exterior2nd_AsbShng', 'Heating_Grav', 'Neighborhood_NPkVill',
       'Foundation_PConc', 'BldgType_Duplex', 'Condition1_RRNe',
       'HouseStyle_SFoyer', 'BsmtFullBath', 'Street_Pave',
       'BldgType_1Fam', 'Functional_Mod', 'HouseStyle_SLvl',
       'SaleType_ConLI', 'Exterior2nd_Wd Shng', 'Functional_Min1',
       'Exterior1st_Plywood', 'Exterior1st_Stucco', 'LotShape_IR3',
       'BsmtUnfSF', 'Exterior1st_WdShing', 'Exterior1st_CBlock',
       'Exterior2nd_CBlock', 'Foundation_Slab', 'HeatingQC_Ex',
       'Exterior1st_AsbShng', 'Heating_GasW', 'HouseStyle_1.5Unf',
       'ExterCond_Fa', 'OpenPorchSF', 'SaleType_Con',
       'Neighborhood_IDOTRR', 'three', 'Condition1_Artery',
       'LotConfig_Corner', 'HeatingQC_Fa', 'Neighborhood_Timber',
       'Utilities_NoSeWa', 'LandSlope_Gtl', 'Exterior1st_MetalSd',
       'Neighborhood_BrDale', 'FullBath', 'SaleType_New',
       'LotConfig_CulDSac', 'HouseStyle_1Story', 'Exterior2nd_VinylSd',
       'Exterior2nd_BrkFace', 'SaleCondition_Partial', 'Heating_Wall',
       'HouseStyle_1.5Fin', 'SaleCondition_Family', 'LotShape_IR2',
       'Condition2_RRAn', 'LandSlope_Mod', 'TotRmsAbvGrd',
       'SaleCondition_Abnorml', 'Neighborhood_SawyerW',
       'Neighborhood_SWISU', 'RoofStyle_Flat', 'Exterior2nd_Stone',
       'LotConfig_Inside', 'ExterCond_TA', 'Functional_Min2',
       'LotConfig_FR3', 'BsmtFinSF2', 'HeatingQC_Gd', 'GarageArea',
       'LandContour_Lvl', 'HeatingQC_TA', 'HouseStyle_2.5Fin',
       'HouseStyle_2.5Unf', 'SaleType_ConLw', 'YearRemodAdd',
       'Condition2_RRNn', 'ExterCond_Gd', 'GarageCars',
       'RoofMatl_WdShake', 'Fireplaces', 'RoofStyle_Gambrel',
       'Neighborhood_ClearCr', 'Condition2_PosA', 'ExterQual_Ex',
       'RoofMatl_Roll', 'Condition1_Norm', 'LotConfig_FR2',
       'Condition2_RRAe', 'Exterior1st_ImStucc', 'Condition2_Artery',
       'WoodDeckSF', 'Heating_OthW', 'Neighborhood_Crawfor',
       'KitchenQual_Fa', 'MoSold', 'RoofStyle_Shed', 'Condition2_Feedr',
       'Functional_Sev', 'Neighborhood_OldTown', 'Neighborhood_Sawyer',
       'PavedDrive_N', 'KitchenAbvGr', 'Condition1_RRAe',
       'Foundation_Wood', 'Exterior2nd_ImStucc', 'Exterior1st_BrkFace',
       'RoofStyle_Hip', 'ScreenPorch', 'Neighborhood_CollgCr',
       'PavedDrive_P', 'HouseStyle_2Story', 'LotShape_Reg',
       'RoofStyle_Gable', 'MSZoning_C (all)', 'SaleType_COD',
       'Neighborhood_Gilbert', 'KitchenQual_Ex', 'LotShape_IR1',
       'LandContour_Low', 'LandContour_Bnk', 'RoofMatl_Metal',
       'BldgType_Twnhs', 'PoolArea', 'BedroomAbvGr', 'RoofMatl_Tar&Grv',
       'LandSlope_Sev', 'PavedDrive_Y', 'Condition2_Norm', 'SaleType_WD',
       'BldgType_TwnhsE', 'YearBuilt', 'Functional_Typ',
       'Neighborhood_Mitchel', 'Street_Grvl', 'CentralAir_N',
       'Neighborhood_Edwards', 'RoofMatl_Membran', 'Neighborhood_NAmes',
       'RoofMatl_CompShg', 'Neighborhood_NWAmes', 'CentralAir_Y',
       'Neighborhood_NridgHt', 'Neighborhood_NoRidge', 'OverallCond',
       'LotArea', 'ExterQual_Gd', 'ExterQual_TA', 'Neighborhood_StoneBr',
       'KitchenQual_TA', 'KitchenQual_Gd', 'TotalBsmtSF', 'OverallQual',
       'one', 'BsmtFinSF1', 'two', 'RoofMatl_WdShngl', 'Condition2_PosN',
       'TotalSF', 'RoofMatl_ClyTile'], dtype=object)]"
